PRECINCT,REG17,BALLOTS17,CRANLEY,SIMPSON,TOTMAY,P_CRANLEY,P_SIMPSON,P_HVAP,P_WVAP,P_BVAP,P_AMINVAP,P_ASIANVAP,P_NHPIVAP,P_OTHERVAP,P_2MOREVAP,P_HCVAP,P_BCVAP,P_WCVAP
2306 CIN 23-F,1280,466,215,240,455,0.472527473,0.527472527,0.009748172,0.415922015,0.542648253,0.000812348,0.01056052,0.000812348,0.001624695,0.017871649,0.004232378,0.68445592,0.26357876
2307 CIN 23-G,608,213,79,131,210,0.376190476,0.623809524,0.008561644,0.238013699,0.72260274,0.005136986,0.008561644,0,0.001712329,0.015410959,0.003132226,0.544053675,0.442733144
2308 CIN 23-H,949,517,299,197,496,0.602822581,0.397177419,0.003239741,0.705183585,0.277537797,0,0.006479482,0,0,0.007559395,0.004116761,0.497569912,0.417746159
2309 CIN 23-I,779,344,196,141,337,0.581602374,0.418397626,0.011278195,0.56641604,0.402255639,0,0.012531328,0,0,0.007518797,0.001552878,0.601552251,0.380984138
2310 CIN 23-J,1256,349,212,128,340,0.623529412,0.376470588,0.018156425,0.466480447,0.485335196,0.001396648,0.01396648,0.000698324,0,0.01396648,0.045655844,0.656967602,0.273752574
2311 CIN 23-K,1214,534,235,287,522,0.450191571,0.549808429,0.005665722,0.494806421,0.473087819,0.001888574,0.004721435,0,0.001888574,0.017941454,0,0.423206967,0.528174837
2312 CIN 23-L,612,154,76,76,152,0.5,0.5,0.01300578,0.411849711,0.547687861,0.001445087,0.007225434,0,0.00867052,0.010115607,0.020620469,0.66076196,0.289837055
2313 CIN 23-M,1018,344,169,165,334,0.505988024,0.494011976,0.010251631,0.4305685,0.535880708,0.001863933,0.001863933,0,0.000931966,0.018639329,0.016086366,0.51866069,0.457761884
2314 CIN 23-N,1216,509,257,236,493,0.521298174,0.478701826,0.002516779,0.465604027,0.51090604,0.004194631,0.004194631,0,0,0.012583893,0.000363272,0.594997266,0.367096032
2315 CIN 23-O,1046,512,217,285,502,0.432270916,0.567729084,0.007648184,0.398661568,0.584130019,0.000956023,0.005736138,0,0,0.002868069,0.003320669,0.537004377,0.449478627
2316 CIN 23-P,1631,508,243,253,496,0.489919355,0.510080645,0.037914692,0.364336493,0.557464455,0.004146919,0.015995261,0,0.000592417,0.019549763,0.001473311,0.530441455,0.439538181
2317 CIN 23-Q,862,315,221,82,303,0.729372937,0.270627063,0.03034134,0.536030341,0.412136536,0,0.002528445,0,0,0.018963338,0.002531646,0.601265823,0.382911392
2318 CIN 23-R,652,206,85,114,199,0.427135678,0.572864322,0.008347245,0.385642738,0.554257095,0.005008347,0.010016694,0.001669449,0.003338898,0.031719533,0.01459854,0.562043796,0.379562044
2401 CIN 24-A,1341,497,149,342,491,0.303462322,0.696537678,0.019123506,0.086055777,0.883665339,0.001593625,0.000796813,0,0,0.00876494,0.020979021,0.825174825,0.153846154
2402 CIN 24-B,1421,394,195,196,391,0.498721228,0.501278772,0.043150685,0.440410959,0.480136986,0,0.010958904,0.001369863,0.004794521,0.019178082,0.033781915,0.455105732,0.475944885
2403 CIN 24-C,1547,350,191,148,339,0.563421829,0.436578171,0.015653221,0.4653823,0.476219145,0.002408188,0.01384708,0.001806141,0.001204094,0.023479831,0.006853165,0.571127783,0.408312721
2404 CIN 24-D,1346,347,217,120,337,0.643916914,0.356083086,0.150627615,0.638307764,0.183170618,0.0041841,0.014876801,0.0009298,0.0013947,0.006508601,0.021313105,0.30466996,0.65690551
2405 CIN 24-E,1017,67,19,48,67,0.28358209,0.71641791,0.009744214,0.073081608,0.889159562,0.004872107,0.001218027,0,0,0.021924482,0.000418631,0.941631113,0.040838796
2406 CIN 24-F,949,311,129,174,303,0.425742574,0.574257426,0.012738854,0.335031847,0.622929936,0.001273885,0.01656051,0,0.005095541,0.006369427,0.011923285,0.69133405,0.283201616
2407 CIN 24-G,1547,435,301,121,422,0.713270142,0.286729858,0.063691073,0.665997994,0.228686058,0.002006018,0.02557673,0,0,0.014042126,0.067565505,0.270934882,0.657417105
2408 CIN 24-H,626,47,9,37,46,0.195652174,0.804347826,0,0.027027027,0.925675676,0,0.006756757,0,0,0.040540541,0,0.950738916,0.032019704
2409 CIN 24-I,678,43,6,37,43,0.139534884,0.860465116,0.01543943,0.058194774,0.902612827,0.002375297,0,0,0.001187648,0.020190024,0,0.950738916,0.032019704
2501 CIN 25-A,2045,393,144,242,386,0.373056995,0.626943005,0.036883547,0.195607128,0.708661417,0.002486531,0.031910485,0.003315375,0.000414422,0.020721094,0,0.830411034,0.156365146
2502 CIN 25-B,1316,174,106,65,171,0.619883041,0.380116959,0.018656716,0.493283582,0.458208955,0.002238806,0.004477612,0,0.000746269,0.02238806,0.036060791,0.528590692,0.420924201
2503 CIN 25-C,1094,456,347,94,441,0.786848073,0.213151927,0.027198549,0.887579329,0.0643699,0.002719855,0.003626473,0,0.000906618,0.013599275,0.016809016,0.173603626,0.804148181
2504 CIN 25-D,1580,421,305,109,414,0.736714976,0.263285024,0.038825758,0.731534091,0.196022727,0.004734848,0.011837121,0.00094697,0.000473485,0.015625,0.002078186,0.205477872,0.722497661
2505 CIN 25-E,1164,434,352,76,428,0.822429907,0.177570093,0.01493652,0.936519791,0.038834951,0.000746826,0.004480956,0,0,0.004480956,0.009680749,0.185614635,0.779215031
2506 CIN 25-F,1802,388,273,110,383,0.712793734,0.287206266,0.051941748,0.667475728,0.254368932,0.002427184,0.00776699,0.000485437,0.001456311,0.01407767,0.004414052,0.348263447,0.636392113
2507 CIN 25-G,593,163,113,47,160,0.70625,0.29375,0.088050314,0.714465409,0.168553459,0,0.01509434,0.002515723,0.003773585,0.00754717,0.001419775,0.310281691,0.658305611
2508 CIN 25-H,1392,395,293,96,389,0.753213368,0.246786632,0.022237197,0.769541779,0.190700809,0.002021563,0.00606469,0,0,0.009433962,0.004952209,0.225520709,0.744065187
2509 CIN 25-I,1238,361,281,69,350,0.802857143,0.197142857,0.010615711,0.871903751,0.094125973,0.00353857,0.004246285,0,0.002830856,0.012738854,0.00657209,0.164671016,0.815403569
2510 CIN 25-J,1216,319,200,113,313,0.638977636,0.361022364,0.018745494,0.573179524,0.387887527,0.002883922,0.005046864,0,0.000720981,0.011535689,0.001885981,0.458119353,0.528052681
2511 CIN 25-K,547,93,58,34,92,0.630434783,0.369565217,0.05907781,0.623919308,0.283861671,0,0.007204611,0.008645533,0.001440922,0.015850144,0.004220139,0.644779442,0.33411986
2601 CIN 26-A,1209,542,391,137,528,0.740530303,0.259469697,0.0121673,0.766539924,0.206844106,0.001520913,0.003802281,0,0,0.009125475,0.015171752,0.293509436,0.666721182
2602 CIN 26-B,1015,307,159,142,301,0.528239203,0.471760797,0.027240773,0.458699473,0.489455185,0.000878735,0.01142355,0,0.000878735,0.01142355,0.039724794,0.524853752,0.410380185
2603 CIN 26-C,688,187,121,64,185,0.654054054,0.345945946,0.009049774,0.711915535,0.242835596,0.001508296,0.012066365,0.003016591,0.003016591,0.016591252,0.027830933,0.402482357,0.567846545
2604 CIN 26-D,1137,204,51,147,198,0.257575758,0.742424242,0.029665072,0.139712919,0.816267943,0,0.001913876,0,0.000956938,0.011483254,0.006050714,0.877114456,0.101708044
2605 CIN 26-E,1298,223,85,137,222,0.382882883,0.617117117,0.08125,0.197916667,0.691666667,0.002083333,0.01875,0,0,0.008333333,0.005105375,0.754416821,0.227714368
2606 CIN 26-F,840,149,43,103,146,0.294520548,0.705479452,0.014354067,0.307177033,0.64784689,0,0.013397129,0,0.000956938,0.016267943,0,0.322580645,0.67281106
2607 CIN 26-G,1050,274,194,72,266,0.729323308,0.270676692,0.041952708,0.767353166,0.168573608,0.001525553,0.006864989,0,0.003813883,0.009916095,0.029757371,0.28453748,0.588325936
2608 CIN 26-H,1018,46,11,33,44,0.25,0.75,0.053097345,0.042035398,0.886061947,0,0,0,0.003318584,0.015486726,0.009661836,0.927536232,0.048309179
